is_buggy,h1,h2,N1,N2,complexity,loc,lloc,sloc,comments,multi,blank,single_comments,no_of_files,no_of_added_files,no_of_added_python_files,no_of_modified_files,no_of_modified_python_files,no_of_copied_files,no_of_copied_python_files,no_of_deleted_files,no_of_deleted_python_files,author_previous_commits,author_previous_file_changes
1,0,0,0,0,0,1,1,1,0,0,0,0,16,0,0,16,14,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,15,0,0,15,15,0,0,0,0,0,0
1,0,0,0,0,1,3,1,3,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,4,1,1,1,1,0,0,2,2,0,0
1,3,6,3,6,3,2,2,2,0,0,0,0,8,0,0,8,8,0,0,0,0,0,0
1,0,0,0,0,3,2,2,2,0,0,0,0,21,0,0,20,19,0,0,1,1,0,0
1,0,0,0,0,1,46,1,0,0,40,6,0,6,0,0,6,3,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,7,0,0,0,0,0,0
1,0,0,0,0,2,3,3,3,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,11,0,0,10,8,0,0,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,12,0,0,12,12,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,10,0,0,5,5,0,0,5,5,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,5,0,0,5,4,0,0,0,0,0,0
1,0,0,0,0,0,2,2,2,0,0,0,0,6,0,0,6,5,0,0,0,0,0,0
1,0,0,0,0,2,2,2,2,0,0,0,0,6,0,0,6,5,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0
1,1,2,1,2,2,1,1,1,0,0,0,0,10,0,0,10,7,0,0,0,0,0,0
1,0,0,0,0,1,7,1,0,0,6,1,0,7,0,0,7,4,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,1,2,1,2,1,3,3,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,4,0,0,3,2,0,0,1,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0
1,0,0,0,0,1,116,1,0,0,102,14,0,15,0,0,15,10,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,12,0,0,12,12,0,0,0,0,0,0
1,1,2,1,2,2,13,9,9,1,0,3,1,12,0,0,12,12,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,12,0,0,12,12,0,0,0,0,0,0
1,0,0,0,0,1,8,1,7,0,0,1,0,3,0,0,3,3,0,0,0,0,0,0
1,4,6,4,8,5,6,3,6,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,10,3,2,0,7,1,0,8,0,0,8,8,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,109,1,0,0,87,22,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,3,1,3,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,101,1,85,0,0,16,0,11,0,0,10,9,0,0,1,1,0,0
1,0,0,0,0,1,236,1,0,0,179,57,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,54,1,0,0,47,7,0,17,0,0,17,17,0,0,0,0,0,0
1,0,0,0,0,1,21,1,0,0,17,4,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,6,1,6,0,0,0,0,8,1,1,2,2,0,0,5,5,0,0
1,1,2,1,2,2,3,3,3,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,0,4,4,4,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0
1,0,0,0,0,1,78,1,0,0,62,16,0,19,0,0,19,19,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,47,1,0,0,39,8,0,14,0,0,13,10,0,0,1,1,0,0
1,0,0,0,0,1,55,1,0,0,45,10,0,14,0,0,13,10,0,0,1,1,0,0
1,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,8,0,0,5,5,0,0,3,3,0,0
